,ID,class,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-crporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa
97,41,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
207,283,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
68,302,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
24,44,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
92,173,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
89,77,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1
96,221,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
195,12,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1
199,378,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
125,209,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
209,112,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
117,61,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
49,170,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1
171,58,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
188,114,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
88,103,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1
4,424,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1
31,28,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
177,231,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
0,86,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1
30,75,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1
147,257,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
121,265,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
70,175,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
176,215,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
87,219,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
215,37,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
37,51,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
210,85,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
185,258,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
6,259,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
173,297,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1
153,328,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
182,309,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
151,72,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1
81,113,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1
64,239,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
114,233,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1
86,18,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1
184,34,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
71,398,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1
203,15,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
202,226,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
72,129,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1
179,350,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
138,9,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
206,192,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
178,137,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1
191,414,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1
157,346,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1
208,121,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
47,117,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
56,362,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1
211,189,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0
201,243,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1
53,397,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1
136,147,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
33,20,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
132,304,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
100,96,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1
12,49,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
69,429,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
116,110,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
